id,object,category,central_star_mass,system_age,references
1,HD31293,Giant (Spiral),2.3 ± 0.2,4.6,1
2,HD31648,Faint,2.0 ± 0.2,6.4,2
3,HD34282,Giant (Spiral),2.0 ± 0.2,6.9,3
4,HD36112,Spiral,1.9 ± 0.1,10.9,"4,5"
5,HD97048,Ring,2.4 ± 0.2,3.9,6
6,HD100453,Spiral,1.6 ± 0.1,>11.5,"7,8"
7,HD100546,Giant,2.2 ± 0.2,4.8,"9,10"
8,HD135344B,Spiral,1.6 ± 0.1,11.9,"11,12"
9,HD139614,Ring,1.6 ± 0.1,11.8,13
10,HD142527,Giant (Rim),"2.0 ± 0.2, 0.0",6.2,"14,15"
11,HD142666,Inclined,1.6 ± 0.1,8.5,"16,49"
12,HD143006,Ring,1.5 ± 0.1,11.9,17
13,HD144432,Small,1.8 ± 0.1,8.9,"18,49"
14,HD144668,Small,2.5 ± 0.2,4,16
15,HD145718,Inclined,1.6 ± 0.2,13.7,19
16,HD150193A,Small,2.2 ± 0.2,7,"16,18,45"
17,HD152404,Inclined,"(1.4, 1.4) ± 0.2",>12.0,"16,49"
18,HD163296,Ring,2.2 ± 0.2,7.2,"18,20,45"
19,HD169142,Ring,1.5 ± 0.1,>12.0,"18,21"
20,HD179218,Faint,3.0 ± 0.2,1.9,56
21,TW Hya,Ring,0.8 ± 0.2,10.2,"22,23"
22,PDS 70,Rim,0.5 ± 0.2,3.8,"24,25"
23,RX J1604.3-2130,Rim,1.1 ± 0.2,13.1,"26,27"
24,EM* SR21,Ring,2.1 ± 0.2,4.9,"28,56"
25,GG Tau A,Giant (Rim),"(0.5, 0.3) ± 0.2",1.2,"29,30"
26,Sz 91,Rim,0.5 ± 0.1,3.8,31
27,DoAr 28,Faint,1.1 ± 0.2,6.3,32
28,LkCa15,Rim,1.3 ± 0.1,10.5,"33,34"
29,WLY 2-48,Rim,2.2 ± 0.1,6.9,35
30,V4046 Sgr,Ring,"(1.1, 0.7) ± 0.1",12.9,"36,37"
31,PDS 66,Ring (Rim),1.4 ± 0.1,5.4,"38,37"
32,LkHα330,Spiral,2.5 ± 0.2,3.1,"39,40"
33,GM Aur,Giant (Ring),1.1 ± 0.3,2.3,"41,42"
34,RX J1615.3-3255,Ring,0.8 ± 0.2,2.3,"43,37"
35,V1247 Ori,Spiral,2.0 ± 0.1,7,44
36,T Cha,Inclined,1.2 ± 0.1,15.9,46
37,DoAr 44,Rim,1.5 ± 0.1,6.8,37
38,DZ Cha,Faint,0.4 ± 0.1,2.9,47
39,AS209,Faint (Ring),1.2 ± 0.3,2.1,37
40,IM Lup,Giant (Ring),1.1 ± 0.3,1.7,37
41,MY Lup,Inclined,1.3 ± 0.1,12.7,37
42,RU Lup,Faint,0.7 ± 0.2,1.2,37
43,RY Lup,Inclined,1.9 ± 0.1,2.6,48
44,CI Tau,Faint,1.2 ± 0.2,2.5,56
45,CQ Tau,Spiral,1.6 ± 0.1,11.4,50
46,CS Cha,Small,"(0.9, 0.3) ± 0.2",1.8,51
47,CV Cha,Small,2.2 ± 0.1,2.8,52
48,IRAS 16051-3820,Inclined,1.4 ± 0.1,8.3,53
49,Sz 111,Faint,0.5 ± 0.1,5.2,56
50,UX Tau A,Rim,1.5 ± 0.2,9.1,54
51,DI Cha,Small,2.7 ± 0.2,1.7,56
52,IRAS 08267-3336,Giant (Rim),1.8 ± 0.1,4.2,52
53,SY Cha,Faint,0.8 ± 0.2,3.1,56
54,VZ Cha,Small,0.5 ± 0.1,0.8,56
55,EX Lup,Faint,0.6 ± 0.2,2.7,56
56,RX J1852.3,Ring (Rim),1.0 ± 0.1,>14.0,56
57,Sz 71,Faint,0.4 ± 0.1,1.7,56
58,SZ Cha,Ring,1.7 ± 0.1,4.4,55